ID,gForceX,gForceY,gForceZ,rotX,rotY,rotZ,rawWeight
295,0.39,-0.91,-0.09,-57.42,2.15,34.67,-35182
296,0.34,-0.93,-0.1,-57.15,2.28,35.03,-36510
297,0.28,-0.95,-0.09,-57.1,2.46,32.05,-37494
298,0.23,-0.95,-0.11,-56.68,2.26,21.66,-38193
299,0.19,-1.0,-0.12,-57.18,2.67,33.23,-38754
300,0.13,-1.01,-0.12,-57.32,2.45,35.08,-39658
301,0.06,-1.0,-0.14,-57.19,2.25,33.47,-40846
302,0.01,-1.02,-0.15,-57.21,2.34,31.57,-40983
303,-0.05,-1.01,-0.15,-57.03,2.67,34.89,-41081
304,-0.12,-1.02,-0.16,-56.61,2.39,35.45,-41417
305,-0.17,-1.01,-0.16,-56.44,2.32,32.21,-41894
306,-0.23,-1.01,-0.18,-56.59,2.5,30.24,-41591
307,-0.28,-0.99,-0.19,-56.32,2.28,28.98,-41284
308,-0.34,-0.97,-0.19,-56.97,2.52,28.83,-40998
309,-0.38,-0.95,-0.19,-56.54,2.31,27.29,-40744
310,-0.43,-0.95,-0.2,-56.87,2.63,28.54,-40390
311,-0.48,-0.93,-0.2,-56.98,2.21,32.38,-39865
312,-0.53,-0.89,-0.21,-57.11,2.32,34.6,-38975
313,-0.59,-0.88,-0.23,-57.09,2.46,33.47,-37992
314,-0.63,-0.83,-0.23,-56.96,2.62,31.59,-36904
315,-0.68,-0.81,-0.24,-57.2,2.38,32.53,-35562
316,-0.72,-0.77,-0.25,-57.34,2.28,36.63,-34506
317,-0.77,-0.71,-0.25,-57.34,2.25,37.44,-33199
318,-0.81,-0.65,-0.23,-56.73,2.28,32.73,-31785
319,-0.85,-0.64,-0.27,-57.09,2.54,34.73,-30038
320,-0.89,-0.56,-0.27,-57.08,2.27,37.13,-28077
321,-0.93,-0.5,-0.27,-57.4,2.21,37.34,-26779
322,-0.95,-0.45,-0.27,-57.18,1.94,35.82,-25081
323,-0.98,-0.38,-0.28,-57.22,2.24,38.08,-22738
324,-1.01,-0.32,-0.28,-57.22,2.41,40.2,-20589
325,-1.03,-0.24,-0.28,-57.31,2.08,40.32,-18561
326,-1.05,-0.2,-0.25,-56.95,2.66,36.05,-16394
327,-1.04,-0.03,-0.27,-57.45,2.44,40.59,-13749
328,-1.05,-0.04,-0.28,-57.04,2.33,39.84,-11038
329,-1.06,0.0,-0.28,-57.29,2.28,37.88,-8725
330,-1.04,0.1,-0.28,-56.85,2.53,35.98,-6086
331,-1.03,0.17,-0.27,-57.19,2.51,37.18,-3397
332,-1.02,0.23,-0.26,-57.21,1.79,38.6,-772
333,-1.0,0.3,-0.26,-56.78,2.52,34.34,3646
334,-0.99,0.34,-0.27,-56.89,2.56,30.04,6236
335,-0.96,0.41,-0.25,-56.77,2.22,32.97,8865
